cycle,H1_recursive,H2_recursive,H3_recursive,H4_recursive,H1_anchored,H2_anchored,H3_anchored,H4_anchored
29,0.8776674116805026,0.05864257202344941,0.03993312801358037,0.023756888282467664,0.5460401231918518,0.20605603635905173,0.15508122007557856,0.0928226203735179
30,0.8823323583816937,0.055782540037107455,0.037775120567512366,0.02410998101368652,0.5473349276594925,0.2028531604377297,0.155458149882223,0.09435376202055476
31,0.8866964486054583,0.05306199345668576,0.03573373298993303,0.024507824947922946,0.5485597602060401,0.19991785521286792,0.1561377539072496,0.09538463067384234
32,0.8907790854930981,0.050474129498663846,0.03380266308121322,0.02494412192702479,0.5497184021512721,0.19729592514076216,0.1571116506058238,0.09587402210214194
33,0.8945984208188331,0.048012477155188533,0.031975949215938784,0.025413152810039565,0.5508144304704368,0.19502828456326038,0.1583678289265941,0.09578945603970876
34,0.8981714356942361,0.045670881013183666,0.030247951938099156,0.025909731354481103,0.5518512288371406,0.1931503192531425,0.15989079644378315,0.09510765546593378
35,0.9015140160677975,0.043443485862611285,0.028613336550881642,0.02642916151870961,0.552831998069471,0.19169133423097112,0.16166177042501043,0.09381489727454742
36,0.9046410233552937,0.04132472205539663,0.027067056647322542,0.026967197941987098,0.5537597660116065,0.1906740964700471,0.1636589094784097,0.09190722803993676
37,0.9075663605149913,0.0393092915784069,0.025604338530970574,0.027520009375631236,0.5546373968814177,0.19011447962540562,0.16585758292214214,0.08939054057103457
38,0.9103030338614608,0.037392154805658766,0.024220666478465946,0.028084144854414458,0.5554676001129204,0.19002121633073865,0.16823067455417465,0.0862805090021663
39,0.9128632108928331,0.0355685178966284,0.022911768798537548,0.02865650241200099,0.5562529387208774,0.19039576192856678,0.17074891707593653,0.08260238227461925
40,0.9152582743885993,0.033833820809153176,0.021673604644379174,0.029234300157868348,0.5569958372133725,0.19123227176010585,0.1733812530454129,0.07839063798110874
41,0.9174988730184828,0.03218372589695106,0.020502351538692135,0.029815049545874044,0.5576985890767847,0.19251769236921268,0.17609521790804666,0.07368850064595595
42,0.919594968687391,0.030614107063245476,0.019394393572881013,0.030396530676482517,0.5583633638562714,0.19423196519720223,0.17885734038153547,0.0685473305649909
43,0.9215558808269493,0.02912103944337424,0.01834631024397131,0.03097676948570517,0.5589922138536172,0.1963483395899471,0.1816335552565847,0.063025891299851
44,0.9233903278305393,0.027700789590583468,0.017354865894785847,0.03155401668409137,0.5595870804631284,0.19883379023288825,0.18438962352255198,0.05718950578143134
45,0.925106465816068,0.026349806140466083,0.016416999724779762,0.03212672831868611,0.5601498001651322,0.20164953250002304,0.18709155463658064,0.05110911269826415
46,0.9267119248888083,0.025064710930700937,0.01552981634069518,0.03269354783979561,0.5606821101955829,0.20475162767502225,0.1897060257283844,0.044860236401010445
47,0.9282138430655391,0.023842290553887403,0.014690576817863616,0.03325328956270987,0.5611856539092819,0.2080916686002026,0.19220079257063744,0.0385218849198781
48,0.9296188980108169,0.022679488322353128,0.01389669024456031,0.03380492342226969,0.5616619858532639,0.21161753505403222,0.19454508724647926,0.032175391846224644
49,0.9309333367264774,0.021573396624842624,0.013145705723306096,0.0343475609253739,0.5621125765660163,0.21527420706975572,0.19670999760970814,0.025903218754519813
50,0.9321630033263738,0.0205212496559747,0.012435304804423265,0.03488044221322823,0.562538817117346,0.2190046235035733,0.1986688238577862,0.01978773552129451
51,0.933313365019837,0.019520416500288292,0.011763294328485977,0.03540292415138876,0.5629420234029084,0.22275057245470534,0.20039740782004833,0.013909996322337886
52,0.9343895364193846,0.01856839455358347,0.011127599655568563,0.035914469371463364,0.5633234402066589,0.22645359964263448,0.2018744309000083,0.008348529250698289
53,0.9353963022807525,0.0176628032651074,0.010526258260388742,0.036414636193751314,0.5636842450437668,0.23005592056660257,0.2030816769972453,0.0031781573923853335
54,0.9363381387763537,0.01680137818493744,0.00995741367357279,0.03690306936513603,0.5640255517958563,0.23350132221341852,0.20400425716625914,-0.0015311311755339951
55,0.9372192333967463,0.015981965301676893,0.009419309750337883,0.03737949155123894,0.5643484141497973,0.2367360402427282,0.20463079324158104,-0.005715247634106552
56,0.9380435035685973,0.015202515656304493,0.00891028524889794,0.037843695526200226,0.5646538288506613,0.23970959796156366,0.20495355816449387,-0.009316984976718817
57,0.9388146140719171,0.014461080218709614,0.008428768701855282,0.03829553700751798,0.5649427387788868,0.24237559399625463,0.2049685712807155,-0.012286904055856918
58,0.9395359933340042,0.013755805014101808,0.007973273564744988,0.03873492808714903,0.565216035861153,0.24469242637034516,0.2046756474337399,-0.014584109665238043
59,0.9402108486725436,0.013084926487108095,0.007542393626754522,0.03916183121359382,0.5654745638239473,0.24662394168952226,0.20407839924836935,-0.016176904761838945
